Video ID,View Count,Like Count,Comment Count,Favorite Count,Video Category,Video Published At
5LxWB26Ci74,195983,17347,56,0,28,2024-11-22T06:42:04Z
qB07XpQKvNw,263864,1790,0,0,25,2024-11-22T06:39:45Z
H9QP-DsmHk0,150037,2062,462,0,25,2024-11-22T06:35:14Z
hc0WXcePjuQ,197103,5997,688,0,17,2024-11-22T06:26:40Z
EbBaf0e6eOI,223006,2473,890,0,17,2024-11-22T06:15:16Z
gIg0wwSJG14,767247,8792,1121,0,17,2024-11-22T06:09:51Z
sOvyXxvMNHE,5598,160,5,0,25,2024-11-22T06:09:06Z
Qp8Re3jjXPA,8365,505,5,0,27,2024-11-22T06:06:12Z
WJQnOT7lQxE,593397,24113,387,0,25,2024-11-22T06:00:16Z
TMv_yBnzEGs,43815,3353,29,0,10,2024-11-22T06:01:00Z
dNRyX-5rH-o,859656,6303,8009,0,25,2024-11-22T05:48:37Z
fi00OYBTQgM,135396,10674,55,0,24,2024-11-22T05:38:37Z
ahqJKhNEn1o,156050,24605,1397,0,25,2024-11-22T05:36:24Z
vZhd4wWvG84,122565,10019,495,0,24,2024-11-22T05:30:30Z
safPhJhbMwA,368054,7263,99,0,24,2024-11-22T05:30:26Z
5LOo5pd24JU,138027,1513,74,0,25,2024-11-22T05:19:45Z
FlI95-b_kHk,0,2324,85,0,10,2024-11-22T05:07:06Z
C_DvQQvucDQ,172508,1967,32,0,24,2024-11-22T05:05:14Z
YPabvqBLo8w,1646254,61283,1678,0,20,2024-11-22T05:02:57Z
ghsEfDSQM-g,191154,18542,572,0,24,2024-11-22T05:00:42Z
LhPH107QLos,143152,24803,633,0,10,2024-11-22T05:00:22Z
7sJwht6IC4E,219774,23898,136,0,24,2024-11-22T05:00:08Z
pZ1NdE69VTs,10878022,1092279,77894,0,10,2024-11-22T05:00:06Z
Xqu7ZgzLys8,215206,4026,113,0,24,2024-11-22T05:00:51Z
RiuAVPxvfa4,208417,36169,965,0,25,2024-11-22T04:59:31Z
mCjVtpMp9nI,87452,728,5,0,20,2024-11-22T04:55:14Z
MsCOpMS8F0I,69545,1126,699,0,25,2024-11-22T04:53:16Z
jpSOPbVmdgc,2102641,31495,3787,0,17,2024-11-22T04:43:54Z
T7VWji2wcvQ,152737,2644,178,0,17,2024-11-22T04:32:06Z
IPZGGm9cvwE,59262,1442,28,0,25,2024-11-22T04:30:07Z
9fh6KrFrVRE,61533,1039,65,0,25,2024-11-22T04:30:36Z
1fF-GnSzmCA,104532,1695,176,0,17,2024-11-22T04:23:26Z
iP8eMaxk_JQ,178200,7052,1144,0,25,2024-11-22T04:15:02Z
Mp3LZFENjwo,82717,3936,140,0,24,2024-11-22T04:11:07Z
npH2Ih6LQ9M,11970,96,1,0,24,2024-11-22T04:11:59Z
pUs353j4X-E,98136,1655,27,0,24,2024-11-22T04:10:00Z
FMzTY-83hAA,335267,4446,69,0,24,2024-11-22T04:05:00Z
vC1_X49Pw5U,79982,518,204,0,25,2024-11-22T04:00:38Z
TSIRIRneRUY,729213,24924,237,0,24,2024-11-22T04:00:15Z
EN-h6blCirM,41420,190,4,0,24,2024-11-22T04:00:11Z
PHMJLfrnD6k,34678,2029,319,0,17,2024-11-22T03:57:19Z
6m_o9akaXhI,40691,980,61,0,25,2024-11-22T03:51:16Z
8bvN3_HMmGc,38206,187,0,0,17,2024-11-22T03:49:33Z
8bvN3_HMmGc,38206,187,0,0,17,2024-11-22T03:49:33Z
-RRwzt62eno,569975,7427,48,0,24,2024-11-22T03:45:00Z
c4Ld8k4uMl0,52943,1554,1175,0,25,2024-11-22T03:45:01Z
MBqppJqCZkg,572509,8730,125,0,24,2024-11-22T03:40:00Z
Y32lijEcUi8,232391,3723,11,0,24,2024-11-22T03:35:02Z
iixn0gOd1RY,52803,1043,21,0,24,2024-11-22T03:30:26Z
9SJmli2_8BY,220440,21871,285,0,25,2024-11-22T03:30:06Z
lG14vv5kMQw,50590,254,25,0,17,2024-11-22T03:27:37Z
ynpqnjOvv68,87919,397,47,0,17,2024-11-22T03:26:59Z
6PKvyPED_K4,60510,751,270,0,25,2024-11-22T03:23:42Z
0RiGPX0Wd7Q,311047,2211,3899,0,25,2024-11-22T03:20:40Z
7aSHwWrJjM0,37184,109,6,0,25,2024-11-22T03:14:50Z
uW4AQEqk4M8,142505,22580,445,0,25,2024-11-22T03:09:50Z
wcODigHlAfI,140343,5230,133,0,25,2024-11-22T03:03:03Z
EgEeiVWl3Fo,1496573,475,0,0,25,2024-11-22T03:03:59Z
R-qZ4KO6YCg,284006,34292,4051,0,24,2024-11-22T03:02:47Z
xe7L4D4varw,508945,29718,2476,0,24,2024-11-22T03:00:47Z
fgGZpnJs1a4,232093,39845,636,0,10,2024-11-22T03:00:24Z
NA5vOkjjUhU,189071,9509,2489,0,25,2024-11-22T03:00:29Z
DnzHpUz2VHk,37908,433,18,0,24,2024-11-22T03:01:50Z
OZIfDXhH2Xs,118887,1263,495,0,17,2024-11-22T03:00:16Z
FNfLH3hzF4I,121977,3735,227,0,24,2024-11-22T03:00:15Z
3R-H1hLah2k,450122,19136,362,0,26,2024-11-22T03:00:04Z
9y_PxkVy5s8,222346,12817,1253,0,20,2024-11-22T03:00:07Z
hafIPST8EUM,86854,5337,98,0,25,2024-11-22T02:59:55Z
8ATSW31uDNE,39865,3202,530,0,25,2024-11-22T03:00:09Z
DsMVD8jpZeg,14557,1400,70,0,25,2024-11-22T02:52:53Z
WEktHaEsYQs,330589,0,106,0,24,2024-11-22T02:42:56Z
2U6JRJRCqwg,21792,282,11,0,25,2024-11-22T02:33:31Z
svfI1SwKBWc,49214,1574,29,0,24,2024-11-22T02:30:33Z
D8ucwqG7grc,282635,3077,89,0,25,2024-11-22T02:30:55Z
w3nATbqcliQ,53503,1399,25,0,25,2024-11-22T02:30:06Z
WQ3mG1F3zmI,90661,1429,4,0,24,2024-11-22T02:29:10Z
0UT4n-umgP8,275590,34140,885,0,27,2024-11-22T02:26:42Z
1Hh0pWyXK_k,288371,3724,71,0,25,2024-11-22T02:24:08Z
tgftNRqUOg8,63153,180,18,0,17,2024-11-22T02:13:21Z
YOv1cSL9OeY,142434,1709,832,0,25,2024-11-22T02:14:06Z
NhnAgRoxy1I,50254,251,10,0,25,2024-11-22T02:06:07Z
PA_ZzqiVIT0,57907,7521,56,0,24,2024-11-22T02:05:46Z
H_GZasaZOKk,74227,8497,170,0,22,2024-11-22T02:02:57Z
0CzOp5Z3Mao,73412,10077,820,0,25,2024-11-22T02:01:52Z
0JVFmjwztIw,165161,0,23,0,25,2024-11-22T02:01:42Z
Qm3LT09aoH8,660475,5506,3886,0,25,2024-11-22T02:00:58Z
fptp9HZMSbg,56085,289,55,0,17,2024-11-22T02:02:26Z
3duJsQWs02U,924598,26994,2609,0,23,2024-11-22T02:00:02Z
urdIsvaOImo,398592,22109,2150,0,24,2024-11-22T02:00:26Z
vmoPkYtGhfA,97175,1854,308,0,25,2024-11-22T02:00:26Z
uTkNqphs4w8,70392,3860,274,0,24,2024-11-22T02:00:25Z
JOGkaAZvS7k,99310,722,354,0,25,2024-11-22T01:58:02Z
6swzC8H1rLU,19184,5951,270,0,22,2024-11-22T01:54:59Z
6swzC8H1rLU,19184,5951,270,0,22,2024-11-22T01:54:59Z
0Ly6rXWOFaE,70604,668,15,0,20,2024-11-22T01:52:36Z
To5S9jzp2sQ,346104,3980,1851,0,17,2024-11-22T01:49:42Z
Su9M4ZxrjZ8,218327,5803,328,0,20,2024-11-22T01:48:11Z
Lz1ts36PELc,19103,896,14,0,20,2024-11-22T01:46:16Z
V2MgP6J-J2Y,165408,0,51,0,22,2024-11-22T01:45:01Z
ueZFsfQiZaQ,40222,320,42,0,17,2024-11-22T01:41:00Z
MYXT0rvdRiI,12263,485,14,0,20,2024-11-22T01:38:49Z
cHsxt03BmQk,95417,0,14,0,25,2024-11-22T01:31:42Z
3Ld09SB7h-Y,82537,2455,582,0,24,2024-11-22T01:30:01Z
M3aQlMWAYZs,45698,817,0,0,17,2024-11-22T06:05:25Z
vulJLVcvZVo,237524,0,30,0,25,2024-11-22T01:30:15Z
-oCNOvmWihk,79301,6016,630,0,24,2024-11-22T01:20:45Z
pvFB3blVy4Q,31389,630,230,0,24,2024-11-22T01:19:07Z
Ixu4hvhQ4kQ,287026,9073,559,0,20,2024-11-22T01:19:17Z
bzrFZIUW7z4,257034,1233,54,0,25,2024-11-22T01:17:57Z
mfmdjyAbLmI,150378,2182,956,0,25,2024-11-22T01:18:41Z
LF2BEooUxR4,51254,478,14,0,25,2024-11-22T01:10:33Z
kPFuLJuP0jU,14991,123,5,0,25,2024-11-22T01:02:31Z
E__DfOyThDk,83936,1445,0,0,20,2024-11-22T01:00:55Z
8FwFXlb0H64,30098,3182,142,0,25,2024-11-22T01:00:06Z
r-9sPs2Njqk,129154,2049,612,0,17,2024-11-22T01:00:36Z
b0IiKFKsRAU,15733,1582,235,0,24,2024-11-22T01:00:32Z
HnEySA--vDw,1304862,26352,1784,0,22,2024-11-22T01:00:07Z
