Video ID,Session,View Count,Like Count,Comment Count,Video Category,Video Published At
f-Dvm17aVxk,4,12151,356,47,Recreation,2024-10-21 14:00:42
RzQpDaa2044,4,2202841,31322,35,Recreation,2024-10-21 13:32:11
Gs1r0uzedBw,4,1767,233,3,Info,2024-10-21 13:31:20
F4oaCRpuCtU,4,48181,363,54,Info,2024-10-21 13:28:10
ng_xV81XhHM,4,6427,37,56,Info,2024-10-21 13:03:08
yGLEpVbJm40,4,1314839,33231,7978,Info,2024-10-21 13:01:10
lKwo4S2VA3c,4,44606,250,6,Info,2024-10-21 13:01:47
T0sPOtCwXio,4,1236,303,15,Info,2024-10-21 12:55:26
6iG4Zp8HLOA,4,230085,4458,0,Info,2024-10-21 12:52:07
E-TA8hJIUk8,4,10252,321,22,Recreation,2024-10-21 12:40:42
gE4eK3He-7w,4,141423,3525,0,Info,2024-10-21 20:09:19
qWDt3sCTGFg,4,49160,2778,88,Recreation,2024-10-21 12:30:46
zZsgnPmP6lg,4,36876,3757,20,Info,2024-10-21 12:16:34
PYJ4do-OZAQ,4,141088,2095,85,Recreation,2024-10-21 22:35:01
_AlZYvis4uE,4,297948,2196,84,Recreation,2024-10-21 22:21:01
Nks9y_kpofE,4,24321,361,2,Info,2024-10-21 12:08:52
sMY2RlXdreo,4,33026,5065,176,Recreation,2024-10-21 12:01:12
u5us4Y5Q4AY,4,4062,821,12,Info,2024-10-21 12:01:11
jX9vfyAyELE,4,713,6,1,Recreation,2024-10-21 12:00:06
IXq9Ex6qLxY,4,22458,1109,93,Recreation,2024-10-21 11:53:17
00-9NCfhVF8,4,12620,1652,30,Recreation,2024-10-21 11:50:09
mb5ldcr1jbA,5,278589,1300,0,Info,2024-10-21 19:10:34
rtLGwJF9Jxc,5,98531,583,0,Recreation,2024-10-21 18:45:33
HAOgdVdSSkA,5,653621,0,6,Info,2024-10-21 18:41:24
WWeOBvAvwrY,5,74418,8148,1449,Info,2024-10-21 18:31:26
WunqF6zQnbI,5,62924,1997,57,Info,2024-10-21 18:10:08
rm4qj0SJKKE,5,61578,1864,217,Info,2024-10-21 20:26:07
uDvNq7vtGnM,5,5626,201,46,Recreation,2024-10-21 17:38:38
p8SIBaDl9PE,5,72525,909,0,Info,2024-10-21 17:37:58
q_V96gv_IDA,5,112124,1367,0,Info,2024-10-21 17:34:17
TS6wQl2Gq_Y,5,12093,515,3,Info,2024-10-21 17:24:21
CQMZndfGRWI,5,43260,4543,219,Recreation,2024-10-21 20:12:23
qX6MAp5qQrU,5,122491,7137,125,Info,2024-10-21 16:56:12
tcAExHTclc4,5,9462,75,0,Recreation,2024-10-21 16:22:16
95RPXz_h2Fw,5,14893,3069,259,Recreation,2024-10-21 16:13:57
6kKE4Rurmmk,5,8345,743,103,Recreation,2024-10-21 16:11:11
YRyo5vL6XsI,5,40391,5638,89,Recreation,2024-10-21 16:07:27
Y8hZ5i0TGIs,5,151358,1177,168,Info,2024-10-21 15:52:42
JrD7QKy8PUI,5,436,21,1,Info,2024-10-21 15:51:16
f7v8WJgChU8,5,458,12,0,Recreation,2024-10-21 15:30:18
zToiY455lhQ,5,966888,150192,2693,Recreation,2024-10-21 15:06:25
uDVNRYxIMRE,5,77298,362,0,Recreation,2024-10-21 15:00:59
Yfcs9OPrQz8,5,164610,777,0,Info,2024-10-21 15:01:13
-n0waD4qzI4,5,19758,422,7,Recreation,2024-10-21 15:00:06
qfih0r0sq0c,5,28034,1085,8,Info,2024-10-21 14:44:32
NUzGaZkGTu4,5,82533,398,0,Recreation,2024-10-21 14:45:49
